                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2647,                 1.2357,                 1.2386,                0.90494,                 0.8796,                0.93046,                0.56558,                 1.4096,                0.85067,                 1.3051,             0.00066616,             0.00066616,             0.00066616
                      2,                 1.2659,                0.78789,                 1.2565,                0.94778,                0.90385,                0.93944,                0.57157,                 1.3839,                0.67286,                 1.3156,              0.0012669,              0.0012669,              0.0012669
                      3,                 1.2457,                0.73269,                  1.245,                 0.9622,                0.90731,                0.95623,                0.60715,                 1.3093,                0.63212,                 1.2709,              0.0018015,              0.0018015,              0.0018015
                      4,                 1.2182,                0.69381,                  1.235,                0.96799,                0.92187,                0.95981,                0.63593,                 1.2577,                0.55399,                 1.2334,               0.001703,               0.001703,               0.001703
                      5,                 1.1973,                0.65734,                 1.2199,                0.95569,                0.93067,                0.96273,                0.64051,                 1.2404,                0.54467,                 1.2281,               0.001703,               0.001703,               0.001703
                      6,                 1.1708,                0.63196,                 1.2016,                0.96533,                0.93246,                0.97109,                  0.639,                 1.2294,                0.53713,                 1.2269,               0.001604,               0.001604,               0.001604
                      7,                 1.1496,                0.60452,                 1.1936,                0.97432,                0.92777,                0.96697,                0.64409,                 1.2245,                0.49925,                 1.2162,               0.001505,               0.001505,               0.001505
                      8,                 1.1316,                0.58648,                 1.1809,                0.97656,                0.93784,                0.97068,                0.65616,                 1.1928,                0.50019,                 1.1998,               0.001406,               0.001406,               0.001406
                      9,                 1.1233,                0.57177,                 1.1755,                0.97147,                0.94246,                  0.971,                0.67131,                 1.1713,                0.48054,                 1.1834,               0.001307,               0.001307,               0.001307
                     10,                 1.0984,                0.55738,                 1.1645,                0.96194,                0.94512,                 0.9745,                0.67097,                 1.1746,                0.47372,                 1.1815,               0.001208,               0.001208,               0.001208
                     11,                 1.0894,                0.48108,                 1.1843,                 0.9728,                0.94418,                0.97648,                0.66308,                 1.1808,                0.47994,                 1.1927,               0.001109,               0.001109,               0.001109
                     12,                 1.0741,                0.46211,                 1.1773,                0.98123,                0.94325,                0.97729,                0.67407,                 1.1707,                 0.4549,                 1.1879,                0.00101,                0.00101,                0.00101
                     13,                 1.0562,                 0.4532,                 1.1685,                0.98524,                0.94371,                0.98053,                0.68381,                 1.1499,                0.45164,                 1.1737,               0.000911,               0.000911,               0.000911
                     14,                 1.0436,                0.43728,                 1.1622,                0.98582,                0.94543,                0.98186,                0.68578,                  1.142,                0.44718,                 1.1692,               0.000812,               0.000812,               0.000812
                     15,                 1.0287,                0.42677,                 1.1561,                 0.9791,                0.94887,                0.98149,                0.69158,                 1.1345,                0.43634,                 1.1632,               0.000713,               0.000713,               0.000713
                     16,                 1.0133,                0.41381,                  1.151,                0.98682,                0.95028,                 0.9833,                0.68886,                 1.1348,                0.43594,                 1.1616,               0.000614,               0.000614,               0.000614
                     17,                 1.0026,                0.40267,                 1.1375,                0.98381,                 0.9531,                 0.9823,                0.69657,                 1.1386,                0.41915,                 1.1683,               0.000515,               0.000515,               0.000515
                     18,                0.98434,                 0.3878,                 1.1269,                0.98127,                0.95827,                0.98322,                0.69551,                 1.1179,                0.41239,                 1.1487,               0.000416,               0.000416,               0.000416
                     19,                0.97073,                0.38138,                  1.116,                0.98312,                0.95587,                0.98336,                0.70032,                 1.1209,                 0.4049,                 1.1513,               0.000317,               0.000317,               0.000317
                     20,                0.95992,                0.37077,                 1.1123,                0.98882,                0.95398,                0.98374,                0.70087,                 1.1188,                 0.4012,                 1.1494,               0.000218,               0.000218,               0.000218
